contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,T,spot,mid,iv,delta,gamma,vega,theta
META251226C00660000,2025-12-23 18:03:53+00:00,660.0,6.8,6.75,6.95,-0.049999714,-0.72992283,3710.0,5665.0,0.1518639501953125,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,6.85,0.1518639501953125,,,,
META251226C00662500,2025-12-23 18:05:00+00:00,662.5,5.2,5.2,5.3,-0.4300003,-7.6376605,5655.0,1910.0,0.1485680847167969,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,5.25,0.1485680847167969,,,,
META251226C00665000,2025-12-23 18:05:39+00:00,665.0,4.0,3.95,4.0,-0.4000001,-9.195403,12089.0,4828.0,0.14972774108886722,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,3.975,0.14972774108886722,,,,
META251226C00667500,2025-12-23 18:04:15+00:00,667.5,2.84,2.9,2.97,-0.61000013,-17.681164,2726.0,1657.0,0.15210808837890627,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,2.935,0.15210808837890627,,,,
META251226C00670000,2025-12-23 18:06:02+00:00,670.0,2.09,2.08,2.12,-0.53,-20.229008,12918.0,10904.0,0.15296257202148442,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,2.1,0.15296257202148442,,,,
META251226C00672500,2025-12-23 18:04:05+00:00,672.5,1.4,1.41,1.47,-0.7199999,-33.96226,2203.0,2667.0,0.1538170556640625,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,1.44,0.1538170556640625,,,,
META251226C00675000,2025-12-23 18:05:57+00:00,675.0,0.98,0.96,1.0,-0.63,-39.622643,3876.0,5307.0,0.1552208502197266,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.98,0.1552208502197266,,,,
META251226C00677500,2025-12-23 18:05:26+00:00,677.5,0.64,0.63,0.66,-0.57000005,-47.5,2203.0,1698.0,0.1563805065917969,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.645,0.1563805065917969,,,,
META251226C00680000,2025-12-23 18:05:35+00:00,680.0,0.43,0.42,0.45,-0.45,-51.136364,6887.0,10562.0,0.15992051025390625,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.435,0.15992051025390625,,,,
META251226C00682500,2025-12-23 18:05:21+00:00,682.5,0.28,0.27,0.3,-0.39000002,-57.35294,704.0,1797.0,0.16309430664062502,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.28500000000000003,0.16309430664062502,,,,
META251226C00685000,2025-12-23 18:05:38+00:00,685.0,0.19,0.19,0.2,-0.31,-60.784313,2439.0,3841.0,0.1662681030273438,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.195,0.1662681030273438,,,,
META251226C00687500,2025-12-23 17:57:46+00:00,687.5,0.16,0.13,0.15,-0.22,-57.894737,495.0,2210.0,0.1733481103515625,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.14,0.1733481103515625,,,,
META251226C00690000,2025-12-23 18:02:35+00:00,690.0,0.11,0.11,0.12,-0.19000001,-61.29033,6451.0,5813.0,0.18164880859375,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.11499999999999999,0.18164880859375,,,,
META251226C00692500,2025-12-23 18:02:35+00:00,692.5,0.08,0.08,0.09,-0.16,-64.0,469.0,1021.0,0.18799640136718748,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.08499999999999999,0.18799640136718748,,,,
META251226C00695000,2025-12-23 18:05:47+00:00,695.0,0.07,0.06,0.07,-0.13,-61.904762,2782.0,3982.0,0.194343994140625,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.065,0.194343994140625,,,,
META251226C00697500,2025-12-23 17:30:00+00:00,697.5,0.06,0.05,0.06,-0.09,-59.999996,3084.0,3253.0,0.20410952148437497,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.055,0.20410952148437497,,,,
META251226C00700000,2025-12-23 18:04:16+00:00,700.0,0.05,0.05,0.06,-0.08,-57.142857,1317.0,13390.0,0.21680470703125,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.055,0.21680470703125,,,,
META251226C00702500,2025-12-23 17:50:03+00:00,702.5,0.04,0.04,0.05,-0.07,-63.636364,138.0,560.0,0.22461712890624996,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.045,0.22461712890624996,,,,
META251226C00705000,2025-12-23 18:03:58+00:00,705.0,0.03,0.03,0.04,-0.060000002,-54.545456,232.0,1561.0,0.2304764453125,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.035,0.2304764453125,,,,
META251226C00707500,2025-12-23 17:24:36+00:00,707.5,0.03,0.03,0.04,-0.060000002,-66.666664,7.0,454.0,0.242195078125,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.035,0.242195078125,,,,
META251226C00710000,2025-12-23 17:57:15+00:00,710.0,0.03,0.03,0.04,-0.049999997,-62.499996,201.0,1974.0,0.25489026367187506,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.035,0.25489026367187506,,,,
META251226C00712500,2025-12-23 16:16:43+00:00,712.5,0.02,0.02,0.03,-0.09,-81.818184,2.0,204.0,0.257819921875,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.025,0.257819921875,,,,
